Transaction date,House Age,Distance from nearest Metro station (km),Number of convenience stores,latitude,longitude,Number of bedrooms,House size (sqft),House price of unit area
2012.917,32,84.87882,10,24.98298,121.54024,1,575,37.9
2012.917,19.5,306.5947,9,24.98034,121.53951,2,1240,42.2
2013.583,13.3,561.9845,5,24.98746,121.54391,3,1060,47.3
2013.500,13.3,561.9845,5,24.98746,121.54391,2,875,54.8
2012.833,5,390.5684,5,24.97937,121.54245,1,491,43.1
2012.667,7.1,2175.03,3,24.96305,121.51254,3,828,32.1
2012.667,34.5,623.4731,7,24.97933,121.53642,3,1115,40.3
2013.417,20.3,287.6025,6,24.98042,121.54228,3,1316,46.7
2013.500,31.7,5512.038,1,24.95095,121.48458,1,588,18.8
2013.417,17.9,1783.18,3,24.96731,121.51486,2,1075,22.1
2013.083,34.8,405.2134,1,24.97349,121.53372,1,466,41.4
2013.333,6.3,90.45606,9,24.97433,121.5431,3,1423,58.1
2012.917,13,492.2313,5,24.96515,121.53737,3,1172,39.3
2012.667,20.4,2469.645,4,24.96108,121.51046,3,928,23.8
2013.500,13.2,1164.838,4,24.99156,121.53406,1,512,34.3
2013.583,35.7,579.2083,2,24.9824,121.54619,2,1322,50.5
2013.250,0,292.9978,6,24.97744,121.54458,3,1441,70.1
2012.750,17.7,350.8515,1,24.97544,121.53119,1,568,37.4
2013.417,16.9,368.1363,8,24.9675,121.54451,3,1291,42.3
2012.667,1.5,23.38284,7,24.96772,121.54102,2,1223,47.7
2013.417,4.5,2275.877,3,24.96314,121.51151,2,1487,29.3
2013.417,10.5,279.1726,7,24.97528,121.54541,3,1496,51.6
2012.917,14.7,1360.139,1,24.95204,121.54842,3,1437,24.6
2013.083,10.1,279.1726,7,24.97528,121.54541,2,1262,47.9
2013.000,39.6,480.6977,4,24.97353,121.53885,1,443,38.8
2013.083,29.3,1487.868,2,24.97542,121.51726,3,1011,27
2012.667,3.1,383.8624,5,24.98085,121.54391,3,1133,56.2
2013.250,10.4,276.449,5,24.95593,121.53913,3,941,33.6
2013.500,19.2,557.478,4,24.97419,121.53797,3,1130,47
2013.083,7.1,451.2438,5,24.97563,121.54694,1,476,57.1
2013.500,25.9,4519.69,0,24.94826,121.49587,2,1024,22.1
2012.750,29.6,769.4034,7,24.98281,121.53408,2,1478,25
2012.750,37.9,488.5727,1,24.97349,121.53451,3,978,34.2
2013.250,16.5,323.655,6,24.97841,121.54281,1,566,49.3
2012.750,15.4,205.367,7,24.98419,121.54243,3,1206,55.1
2013.500,13.9,4079.418,0,25.01459,121.51816,2,1249,27.3
2012.917,14.7,1935.009,2,24.96386,121.51458,2,1131,22.9
2013.167,12,1360.139,1,24.95204,121.54842,1,511,25.3
2012.667,3.1,577.9615,6,24.97201,121.54722,1,599,47.7
2013.167,16.2,289.3248,5,24.98203,121.54348,3,1236,46.2
2013.000,13.6,4082.015,0,24.94155,121.50381,1,558,15.9
2013.500,16.8,4066.587,0,24.94297,121.50342,2,1333,18.2
2013.417,36.1,519.4617,5,24.96305,121.53758,3,975,34.7
2012.750,34.4,512.7871,6,24.98748,121.54301,1,447,34.1
2013.583,2.7,533.4762,4,24.97445,121.54765,3,1314,53.9
2013.083,36.6,488.8193,8,24.97015,121.54494,1,572,38.3
2013.417,21.7,463.9623,9,24.9703,121.54458,1,557,42
2013.583,35.9,640.7391,3,24.97563,121.53715,3,867,61.5
2013.417,24.2,4605.749,0,24.94684,121.49578,1,470,13.4
2012.667,29.4,4510.359,1,24.94925,121.49542,2,1227,13.2
2013.417,21.7,512.5487,4,24.974,121.53842,3,1077,44.2
2013.083,31.3,1758.406,1,24.95402,121.55282,2,1016,20.7
2013.583,32.1,1438.579,3,24.97419,121.5175,2,809,27
2013.083,13.3,492.2313,5,24.96515,121.53737,1,421,38.9
2013.083,16.1,289.3248,5,24.98203,121.54348,2,1193,51.7
2012.833,31.7,1160.632,0,24.94968,121.53009,3,1036,13.7
2013.417,33.6,371.2495,8,24.97254,121.54059,3,883,41.9
2012.917,3.5,56.47425,7,24.95744,121.53711,1,548,53.5
2013.500,30.3,4510.359,1,24.94925,121.49542,2,1167,22.6
